,receptor,molecule_chembl_id,canonical_smiles,type,relation,value,units,target_id,action_type,nombre_comercial,document_chembl_id,UMAP-1,UMAP-2
119,A1,CHEMBL69219,O=C(Cc1ccc(O)cc1)CN1CCC(Cc2ccccc2)CC1,Ki,=,610.0,nM,CHEMBL2094251,,,CHEMBL1133913,0.5169486,3.8552208
120,A1,CHEMBL69219,O=C(Cc1ccc(O)cc1)CN1CCC(Cc2ccccc2)CC1,Selectivity ratio,=,27.0,,CHEMBL2094251,,,CHEMBL1133913,0.40963,3.8044052
121,A1,CHEMBL70615,COC(Cc1ccc(O)cc1)CN1CCC(Cc2ccccc2)CC1,Ki,=,305.0,nM,CHEMBL2094251,,,CHEMBL1133913,0.22697558,4.1129694
122,A1,CHEMBL70615,COC(Cc1ccc(O)cc1)CN1CCC(Cc2ccccc2)CC1,Selectivity ratio,=,15.0,,CHEMBL2094251,,,CHEMBL1133913,0.38821092,4.125685
123,A1,CHEMBL306899,Oc1ccc(C(O)CCN2CCC(Cc3ccccc3)CC2)cc1,Ki,=,24.4,nM,CHEMBL2094251,,,CHEMBL1133913,0.39393082,4.097751
124,A1,CHEMBL306899,Oc1ccc(C(O)CCN2CCC(Cc3ccccc3)CC2)cc1,Selectivity ratio,=,6.0,,CHEMBL2094251,,,CHEMBL1133913,0.41233057,4.0889745
125,A1,CHEMBL65954,Oc1ccc(CC(O)CN2CCC(O)(Cc3ccccc3)CC2)cc1,Ki,=,4512.0,nM,CHEMBL2094251,,,CHEMBL1133913,0.73162687,-4.4362416
126,A1,CHEMBL65954,Oc1ccc(CC(O)CN2CCC(O)(Cc3ccccc3)CC2)cc1,Selectivity ratio,=,200.0,,CHEMBL2094251,,,CHEMBL1133913,0.7481855,-4.477535
127,A1,CHEMBL356584,CCC1=C(C(N)=O)C(c2ccc(F)c(F)c2)N(C(=O)NCCCN2CCC(C(=O)OC)(c3ccccc3)CC2)C(=O)N1,Ratio,>,1000.0,,CHEMBL2094251,,,CHEMBL1132477,2.8500438,3.9379032
128,A1,CHEMBL50390,Cc1c(NC2=NCCN2)ccc2c1OCCO2,Ki,=,130.0,nM,CHEMBL2094251,,,CHEMBL1150520,-1.5760256,-3.518777
